Gene,log2FoldChange,pvalue,padj
IFIH1,4.77710073486319,2.96853697233769e-37,2.32351178446537e-36
IGHVIII-5-2,4.77653181360657,7.4379813197786e-10,1.16648791998142e-09
BMP8A,4.77628945872562,3.58760243217589e-32,1.97827081652183e-31
ISLR,4.77372258141301,6.09532888333807e-26,2.24592864113124e-25
CCBE1,4.77253250231882,4.19888705322648e-32,2.30485670619554e-31
ASB16,4.77248146883706,6.05361249262065e-29,2.70169997748002e-28
CXCR3,4.7723227804645,3.19947429372338e-23,1.00506815988099e-22
CDRT15P2,4.771540902518,3.21851324940712e-09,4.89260562655224e-09
HIC2,4.7706117320644,7.7875860342173e-39,6.83562249215639e-38
ALOX15B,4.76893279495098,3.64759413422703e-29,1.65151839031233e-28
CNTN4,4.76664040566021,1.58149752141167e-26,6.04572841688659e-26
TIGIT,4.76592858928572,2.98257507006144e-33,1.77481308545164e-32
NAT16,4.7655499992764,1.18151346826715e-16,2.59326219473381e-16
CA1,4.76451515624059,2.08245098402276e-26,7.89484223810323e-26
CDKL4,4.76440953622905,5.88529186076966e-31,2.99735222802758e-30
CRISP2,4.76378663641098,1.10126729878742e-18,2.68646626670453e-18
MDFI,4.76347653601401,3.98387520362356e-36,2.88274721004036e-35
DEFA6,4.76237836844026,2.33806274967636e-11,3.94451156384266e-11
IGKV2D-40,4.76174387146966,8.6919327996984e-10,1.3583864937535e-09
CLDN15,4.76163014901654,1.40741238076259e-27,5.7436811521573e-27
CD300LD,4.76156072529367,1.82565933739935e-15,3.77462946705781e-15
IGHVIII-13-1,4.7576653434917,1.50653975925961e-08,2.21925102470556e-08
FOXO3B,4.75703295205658,2.68361389098714e-25,9.51715093272959e-25
ITGB1BP2,4.75634293596362,4.05719992320679e-20,1.06610172982121e-19
FABP4,4.75471932820447,1.49788522098034e-10,2.42517552950455e-10
IFNA17,4.75446225007033,6.43551651399805e-10,1.01235549560838e-09
GSDMA,4.75287878799595,1.56548619671113e-21,4.4742759626035e-21
MAP3K10,4.75105743112252,1.59151387229419e-39,1.48222320448158e-38
LIPC,4.75051928409779,3.38472869386967e-27,1.34378099484311e-26
IL1A,4.74931176152396,1.28927256631802e-24,4.39521829202672e-24
NBPF10,4.74887549231374,5.2608287652905e-76,9.03152778281247e-74
ALX1,4.74833119201732,5.13070406646963e-13,9.385334263305e-13
INSM1,4.74602183225475,1.07881627716227e-13,2.04327425998161e-13
HNRNPA1L2,4.74583843446956,3.48995461592927e-40,3.41065251625991e-39
IFNA7,4.74565360400091,9.82508732259e-12,1.69109051660687e-11
FCGR2B,4.74522964205454,3.1878685303417e-32,1.76304106291461e-31
GPAT2,4.74299310563232,1.36913691291031e-22,4.14422414676246e-22
MEIOB,4.73960193334026,1.20507094959717e-17,2.78221076237267e-17
